processed_opcodes,virus
"cmp dword ptr [rsi + rbp], esi xor dh, byte ptr [rdx + rsi] xor eax,  xor eax, dword ptr ss:[rax] movsxd rsp, dword ptr [rax + 0x2f] je  jo  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch jbe  jb  outsb dx, byte ptr [rsi] and byte ptr [rsp + rdi*2 + 0x20], bh movsxd rsp, dword ptr [rax + 0x2f] insd dword ptr [rdi], dx outsb dx, byte ptr [rsi] je  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch jb  outsd dx, dword ptr [rsi] je  jl  and byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch cmp esp, dword ptr [rax] ja  je  push ",Lightaidra
"xor esi, dword ptr [rcx] xor dh, byte ptr cs:[rcx] xor al, 0x2e xor dword ptr [rip + ], esi cmp dh, byte ptr ss:[rcx]",Gafgyt
"xor dword ptr [rax], edi xor eax,  xor dh, byte ptr cs:[rip + ] cmp dh, byte ptr [rdx] xor eax, dword ptr [rax] cmp byte ptr [rsi], ch cmp byte ptr [rax], al",Lightaidra
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Gafgyt
"xor dword ptr [rax], esi xor al, 0x2e xor dh, byte ptr [rax + rdi] xor esi, dword ptr cs:[rdx] xor dh, byte ptr cs:[rdx] xor bh, byte ptr [rdx] xor dh, byte ptr [rbx] add byte ptr [rax], al add byte ptr [rbx + 0x64], ah and byte ptr [rdi], ch je  jo  and byte ptr [rdi + 0x67], dh je  push ",Lightaidra
"xor dword ptr [rcx], edi cmp byte ptr [rsi], ch cmp dword ptr [rax], edi xor eax,  cmp dh, byte ptr ss:[rdx] xor eax, dword ptr [rax] add byte ptr [rax], al add byte ptr [rax], bh cmp byte ptr cs:[rsi], ch cmp byte ptr [rsi], ch cmp byte ptr [rax], al",Lightaidra
"pop rbx insb byte ptr [rdi], dx",Mirai
"outsd dx, dword ptr [rsi] jp  insb byte ptr [rdi], dx",Lightaidra
"xor dword ptr [rax], edi xor eax,  xor edi, dword ptr cs:[rcx] xor dword ptr cs:[rax], esi add byte ptr [rax], al add byte ptr [rsi], dh add byte ptr ss:[rax], al jae  jo  outsd dx, dword ptr [rsi] jb  add byte ptr [rax], al add byte ptr [rbp + 0x66], ah",Gafgyt
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Lightaidra
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsi, dword ptr [rdx + rsi*2 + 0x6c] je  jbe  movsxd rsp, dword ptr [rbp + 0x55] jo  jb  pop rdi xor dword ptr [rax], esp push rsp push rax",Mirai
"push r8 push rbx add byte ptr [rax], al outsd dx, dword ptr [rsi] jp  insb byte ptr [rdi], dx",Lightaidra
"push rax push r11 push rsp and byte ptr [rdi], ch movsxd rsp, dword ptr [rsi + rbp*2 + 0x2d] movsxd rsp, dword ptr [rdi + 0x69]",Mirai
"jne  add byte ptr [ecx + 0x63], ah imul eax, dword ptr [rax], 0x72 jae  add byte ptr [rsi + 0x69], ah outsb dx, byte ptr [rsi] add byte ptr [rax + 0x73], dh push  cmp byte ptr [rdi], ch js ",Mirai
