,type
3695,adware
5574,worm
11714,benign
5113,worm
9202,benign
673,adware
14489,trojan
12250,benign
3193,adware
10944,benign
15455,trojan
11937,benign
5143,worm
3717,adware
10765,benign
5950,worm
4334,worm
9083,benign
13898,trojan
12227,benign
9029,benign
7024,worm
13977,trojan
3678,adware
16449,trojan
14802,trojan
11745,benign
8168,worm
5713,worm
13640,trojan
10556,benign
9782,benign
6311,worm
16314,trojan
16027,trojan
8608,benign
9217,benign
2431,adware
5727,worm
16096,trojan
14729,trojan
8086,worm
1503,adware
11783,benign
9273,benign
16893,trojan
14624,trojan
921,adware
6036,worm
4727,worm
1822,adware
12713,trojan
192,adware
8322,benign
8761,benign
28,adware
807,adware
8105,worm
16369,trojan
11290,benign
7168,worm
12845,trojan
5522,worm
10864,benign
1475,adware
16632,trojan
6233,worm
5948,worm
306,adware
12219,benign
3393,adware
8552,benign
6701,worm
4673,worm
13749,trojan
12767,trojan
15154,trojan
14342,trojan
10324,benign
15402,trojan
16444,trojan
9694,benign
5065,worm
4956,worm
16131,trojan
14395,trojan
10111,benign
962,adware
1421,adware
12774,trojan
1955,adware
7950,worm
12852,trojan
15775,trojan
8906,benign
8636,benign
11358,benign
11339,benign
14911,trojan
13120,trojan
7853,worm
10282,benign
2331,adware
14386,trojan
3306,adware
10870,benign
16546,trojan
2835,adware
12275,benign
13065,trojan
4468,worm
7933,worm
2652,adware
15115,trojan
8651,benign
8752,benign
2100,adware
8649,benign
12824,trojan
7331,worm
13342,trojan
2187,adware
13457,trojan
13630,trojan
4841,worm
9822,benign
16617,trojan
234,adware
2865,adware
3029,adware
2800,adware
12806,trojan
7628,worm
16745,trojan
849,adware
15815,trojan
62,adware
15387,trojan
10737,benign
16435,trojan
6676,worm
15556,trojan
16250,trojan
13588,trojan
16930,trojan
15408,trojan
2043,adware
7945,worm
9181,benign
7455,worm
4664,worm
7289,worm
15088,trojan
2833,adware
1070,adware
9033,benign
11641,benign
14288,trojan
6670,worm
1740,adware
4718,worm
11056,benign
16004,trojan
3080,adware
14253,trojan
11131,benign
1520,adware
13642,trojan
13683,trojan
3384,adware
7046,worm
13356,trojan
12724,trojan
11422,benign
3313,adware
9283,benign
3701,adware
7548,worm
3075,adware
11772,benign
16172,trojan
11437,benign
12656,trojan
14894,trojan
16338,trojan
8483,benign
5790,worm
15818,trojan
10118,benign
4010,adware
2624,adware
5887,worm
2847,adware
5865,worm
1312,adware
14267,trojan
8655,benign
678,adware
4070,adware
17103,trojan
9213,benign
8066,worm
4484,worm
8867,benign
14209,trojan
13517,trojan
11416,benign
16722,trojan
10616,benign
6326,worm
9805,benign
12879,trojan
7830,worm
5536,worm
7710,worm
12303,benign
8857,benign
6001,worm
9209,benign
5439,worm
12281,benign
318,adware
13772,trojan
564,adware
13728,trojan
11504,benign
4419,worm
304,adware
7263,worm
12921,trojan
15801,trojan
4481,worm
15025,trojan
2684,adware
8376,benign
8120,worm
8658,benign
3424,adware
3687,adware
8746,benign
13218,trojan
1155,adware
6147,worm
11873,benign
9007,benign
15827,trojan
617,adware
8375,benign
6502,worm
1161,adware
2595,adware
11296,benign
14932,trojan
4299,worm
6963,worm
9829,benign
3461,adware
9303,benign
